Array Size,Merge Sort,Counting Sort,Quick Sort,Radix Sort
268000,0.107000,0.006000,0.363000,0.027000
269000,0.132000,0.007000,0.352000,0.021000
270000,0.073000,0.005000,0.282000,0.024000
271000,0.100000,0.007000,0.341000,0.027000
272000,0.104000,0.007000,0.336000,0.027000
273000,0.110000,0.008000,0.406000,0.042000
274000,0.117000,0.008000,0.377000,0.043000
275000,0.117000,0.007000,0.439000,0.026000
276000,0.106000,0.008000,0.385000,0.025000
277000,0.101000,0.008000,0.357000,0.022000
278000,0.076000,0.008000,0.314000,0.022000
279000,0.084000,0.007000,0.406000,0.028000
280000,0.140000,0.010000,0.330000,0.028000
281000,0.099000,0.008000,0.461000,0.021000
282000,0.098000,0.009000,0.352000,0.026000
283000,0.093000,0.007000,0.324000,0.025000
284000,0.119000,0.007000,0.350000,0.021000
285000,0.071000,0.006000,0.375000,0.029000
286000,0.144000,0.008000,0.324000,0.029000
287000,0.113000,0.004000,0.287000,0.029000
288000,0.123000,0.008000,0.304000,0.023000
289000,0.099000,0.008000,0.333000,0.032000
290000,0.132000,0.004000,0.333000,0.028000
291000,0.120000,0.008000,0.349000,0.046000
292000,0.103000,0.005000,0.322000,0.027000
293000,0.133000,0.010000,0.348000,0.023000
294000,0.101000,0.011000,0.384000,0.024000
295000,0.080000,0.005000,0.532000,0.026000
296000,0.070000,0.006000,0.338000,0.023000
297000,0.075000,0.004000,0.324000,0.030000
298000,0.101000,0.004000,0.319000,0.033000
299000,0.116000,0.004000,0.319000,0.026000
300000,0.110000,0.008000,0.361000,0.029000
301000,0.083000,0.004000,0.348000,0.022000
302000,0.097000,0.008000,0.365000,0.024000
303000,0.064000,0.005000,0.347000,0.028000
304000,0.086000,0.008000,0.380000,0.028000
305000,0.103000,0.008000,0.418000,0.034000
306000,0.133000,0.009000,0.556000,0.035000
307000,0.127000,0.005000,0.406000,0.026000
308000,0.114000,0.009000,0.411000,0.026000
309000,0.075000,0.004000,0.381000,0.028000
310000,0.124000,0.010000,0.440000,0.031000
311000,0.125000,0.008000,0.407000,0.029000
312000,0.093000,0.005000,0.374000,0.024000
313000,0.092000,0.007000,0.414000,0.024000
314000,0.073000,0.005000,0.355000,0.027000
315000,0.092000,0.005000,0.408000,0.025000
316000,0.078000,0.005000,0.379000,0.026000
317000,0.071000,0.005000,0.418000,0.042000
318000,0.114000,0.008000,0.483000,0.047000
319000,0.137000,0.008000,0.460000,0.026000
320000,0.098000,0.009000,0.524000,0.027000
321000,0.073000,0.005000,0.381000,0.042000
322000,0.074000,0.006000,0.453000,0.033000
323000,0.153000,0.009000,0.419000,0.036000
324000,0.103000,0.006000,0.481000,0.031000
325000,0.084000,0.005000,0.409000,0.042000
326000,0.090000,0.007000,0.413000,0.051000
327000,0.091000,0.006000,0.441000,0.036000
328000,0.139000,0.009000,0.487000,0.051000
329000,0.131000,0.004000,0.489000,0.033000
330000,0.129000,0.005000,0.414000,0.029000
331000,0.120000,0.007000,0.484000,0.026000
332000,0.070000,0.005000,0.380000,0.032000
333000,0.101000,0.007000,0.452000,0.024000
334000,0.094000,0.010000,0.476000,0.026000
335000,0.096000,0.009000,0.606000,0.056000
336000,0.124000,0.005000,0.448000,0.034000
337000,0.110000,0.007000,0.448000,0.038000
338000,0.130000,0.006000,0.450000,0.036000
339000,0.139000,0.004000,0.391000,0.028000
340000,0.110000,0.006000,0.548000,0.037000
341000,0.119000,0.006000,0.486000,0.035000
342000,0.150000,0.011000,0.464000,0.032000
343000,0.100000,0.005000,0.401000,0.026000
344000,0.104000,0.009000,0.529000,0.046000
345000,0.131000,0.005000,0.404000,0.028000
346000,0.098000,0.004000,0.444000,0.036000
347000,0.163000,0.010000,0.597000,0.040000
348000,0.130000,0.006000,0.445000,0.026000
349000,0.112000,0.005000,0.520000,0.036000
350000,0.140000,0.004000,0.622000,0.028000
351000,0.117000,0.005000,0.483000,0.054000
352000,0.090000,0.005000,0.419000,0.028000
353000,0.086000,0.004000,0.421000,0.028000
354000,0.135000,0.010000,0.542000,0.038000
355000,0.150000,0.010000,0.494000,0.026000
356000,0.101000,0.011000,0.530000,0.036000
357000,0.098000,0.005000,0.443000,0.035000
358000,0.136000,0.005000,0.544000,0.033000
359000,0.153000,0.007000,0.563000,0.041000
360000,0.188000,0.009000,0.570000,0.037000
361000,0.144000,0.005000,0.590000,0.031000
362000,0.135000,0.007000,0.571000,0.031000
363000,0.077000,0.005000,0.563000,0.034000
364000,0.148000,0.005000,0.484000,0.032000
365000,0.159000,0.012000,0.593000,0.042000
366000,0.112000,0.005000,0.646000,0.029000
367000,0.082000,0.006000,0.550000,0.054000
368000,0.159000,0.011000,0.510000,0.043000
369000,0.132000,0.005000,0.637000,0.035000
370000,0.118000,0.006000,0.558000,0.033000
371000,0.162000,0.039000,0.476000,0.035000
372000,0.147000,0.004000,0.651000,0.027000
373000,0.109000,0.010000,0.678000,0.034000
374000,0.149000,0.011000,0.702000,0.038000
375000,0.101000,0.005000,0.504000,0.042000
376000,0.108000,0.006000,0.626000,0.028000
377000,0.102000,0.010000,0.552000,0.032000
378000,0.095000,0.006000,0.573000,0.041000
379000,0.101000,0.005000,0.714000,0.035000
380000,0.137000,0.004000,0.570000,0.060000
381000,0.149000,0.005000,0.616000,0.039000
382000,0.108000,0.006000,0.550000,0.028000
383000,0.085000,0.008000,0.573000,0.038000
384000,0.112000,0.007000,0.589000,0.043000
385000,0.106000,0.007000,0.650000,0.040000
386000,0.107000,0.006000,0.593000,0.039000
387000,0.113000,0.007000,0.565000,0.029000
388000,0.088000,0.007000,0.536000,0.032000
389000,0.115000,0.012000,0.635000,0.042000
390000,0.130000,0.007000,0.661000,0.041000
391000,0.130000,0.006000,0.532000,0.036000
392000,0.147000,0.007000,0.538000,0.041000
393000,0.143000,0.006000,0.675000,0.045000
394000,0.142000,0.006000,0.541000,0.031000
395000,0.127000,0.012000,0.673000,0.030000
396000,0.157000,0.015000,0.847000,0.038000
397000,0.086000,0.006000,0.635000,0.043000
398000,0.217000,0.012000,0.558000,0.063000
399000,0.167000,0.008000,0.636000,0.030000
400000,0.118000,0.011000,0.599000,0.038000
